################################################
### A World Like Any Other Patagonia De Jure ###
################################################
### Empire of Patagonia ###
e_patagonia;Patagonia;Patagonie;Patagonien;Patagonia;;;;;;;;;x
### Kingdom of Magallanes ###
k_magallanes;Magallanes;;;;;;;;;;;;;x
k_magallanes_adj;Magallánico;;;;;;;;;;;;;x
d_magallanes;Magallanes;;;;;;;;;;;;;x
d_magallanes_adj;Magallánico;;;;;;;;;;;;;x
c_punta_arenas;Punta Arenas;;;;;;;;;;;;;x
c_punta_arenas_adj;Puntaarenense;;;;;;;;;;;;;x
c_dawson;Dawson;;;;;;;;;;;;;x
c_dawson_adj;Dawsoniano;;;;;;;;;;;;;x
c_riesco;Riesco;;;;;;;;;;;;;x
c_riesco_adj;Riesquino;;;;;;;;;;;;;x
c_laguna_blanca;Laguna Blanca;;;;;;;;;;;;;x
c_laguna_blanca_adj;Lagunense;;;;;;;;;;;;;x
c_san_gregorio;San Gregorio;;;;;;;;;;;;;x
c_san_gregorio_adj;Sangregoriano;;;;;;;;;;;;;x
c_magallanes;Magallanes;;;;;;;;;;;;;x
c_magallanes_adj;Magallánico;;;;;;;;;;;;;x
b_puerto_harris_MG;Puerto Harris;;;;;;;;;;;;;x
b_almirante_schroeders_MG;Almirante Schroeders;;;;;;;;;;;;;x
b_dawson_MG;Dawson;;;;;;;;;;;;;x
b_wickham_MG;Wickham;;;;;;;;;;;;;x
b_san_grandoni_MG;San Grandoni;;;;;;;;;;;;;x
b_don_bosco_MG;Don Bosco;;;;;;;;;;;;;x
b_rossana_MG;Rossana;;;;;;;;;;;;;x
b_punta_arenas_MG;Punta Arenas;;;;;;;;;;;;;x
b_cabo_negro_MG;Cabo Negro;;;;;;;;;;;;;x
b_rio_seco_MG;Río Seco;;;;;;;;;;;;;x
b_bulnes_MG;Bulnes;;;;;;;;;;;;;x
b_ancon_sin_salida_MG;Ancón Sin Salida;;;;;;;;;;;;;x
b_ankle_MG;Ankle;;;;;;;;;;;;;x
b_garganta_alta_MG;Garganta Alta;;;;;;;;;;;;;x
b_riesco_MG;Riesco;;;;;;;;;;;;;x
b_el_trebol_MG;El Trébol;;;;;;;;;;;;;x
b_san_carlos_MG;San Carlos;;;;;;;;;;;;;x
b_eva_MG;Eva;;;;;;;;;;;;;x
b_el_salto_MG;El Salto;;;;;;;;;;;;;x
b_rio_leon_MG;Río León;;;;;;;;;;;;;x
b_santa_rosa_de_lima_MG;Santa Rosa de Lima;;;;;;;;;;;;;x
b_villa_tehuelches_MG;Villa Tehuelches;;;;;;;;;;;;;x
b_rio_verde_MG;Río Verde;;;;;;;;;;;;;x
b_san_braulio_MG;San Braulio;;;;;;;;;;;;;x
b_punta_isabela_MG;Punta Isabela;;;;;;;;;;;;;x
b_rayon_cifuentes_MG;Rayón Cifuentes;;;;;;;;;;;;;x
b_rio_blanco_MG;Río Blanco;;;;;;;;;;;;;x
b_las_vacas_MG;Las Vacas;;;;;;;;;;;;;x
b_san_gregorio_MG;San Gregorio;;;;;;;;;;;;;x
b_puerto_zenteno_MG;Puerto Zenteno;;;;;;;;;;;;;x
b_punta_delgada_MG;Punta Delgada;;;;;;;;;;;;;x
b_punta_dungeness_MG;Punta Dungeness;;;;;;;;;;;;;x
b_los_coipos_MG;Los Coipos;;;;;;;;;;;;;x
b_campo_la_avena_MG;Campo La Avena;;;;;;;;;;;;;x
b_campenaike_MG;Campenaike;;;;;;;;;;;;;x
b_isla_santa_ines_MG;Isla Santa Inés;;;;;;;;;;;;;x
b_isla_clarence_MG;Isla Clarence;;;;;;;;;;;;;x
b_isla_carlos_tercero_MG;Isla Carlos Tercero;;;;;;;;;;;;;x
b_isla_recalada_MG;Isla Recalada;;;;;;;;;;;;;x
b_isla_week_MG;Isla Week;;;;;;;;;;;;;x
b_isla_carlos_MG;Isla Carlos;;;;;;;;;;;;;x
b_isla_grafton_MG;Isla Grafton;;;;;;;;;;;;;x
### Kingdom of Neuquén ###

### Kingdom of Rio Negro ###

### Kingdom of Chubut ###

### Kingdom of Santa Cruz de la Patagonia ###
k_santa_cruz_patagonia;Santa Cruz de la Patagonia;;;;;;;;;;;;;x
k_santa_cruz_patagonia_adj;Santacruceño;;;;;;;;;;;;;x
d_baguales;Baguales;;;;;;;;;;;;;x
d_baguales_adj;Bagualeño;;;;;;;;;;;;;x
