########################################
### A World Like Any Other Nicknames ###
########################################
### Chileno Lore Nicknames ###
nick_el_bacan;el Bacán;;;;;;;;;;;;;x
nick_la_colorina;la Colorina;;;;;;;;;;;;;x
nick_el_leon_de_santiago;el León de Santiago;;;;;;;;;;;;;x
nick_la_leona_de_santiago;la Leona de Santiago;;;;;;;;;;;;;x
nick_el_leon_de_la_muerte;el León de la Muerte;;;;;;;;;;;;;x
nick_la_quintrala;la Quintrala;;;;;;;;;;;;;x

nick_el_bravo;el Bravo;;;;;;;;;;;;;x
nick_la_espada_de_santiago;la Espada de Santiago;;;;;;;;;;;;;x
nick_corazon_de_dragon;Corazón de Dragón;;;;;;;;;;;;;x
nick_el_torturador;el Torturador;;;;;;;;;;;;;x
nick_el_batallador;el Batallador;;;;;;;;;;;;;x
