############################################
### A World Like Any Other Chile De Jure ###
############################################
### Empire of Chile ###
e_chile;Chile;;;;;;;;;;;;;x
e_chile_adj;Chileno;;;;;;;;;;;;;x
### Kingdom of Atacama ###
d_arica;Arica;;;;;;;;;;;;;x
d_arica_adj;Ariqueño;;;;;;;;;;;;;x
d_tarapaca;Tarapacá;;;;;;;;;;;;;x
d_tarapaca_adj;Tarapaqueño;;;;;;;;;;;;;x
d_antofagasta;Antofagasta;;;;;;;;;;;;;x
d_antofagasta_adj;Antofagastino;;;;;;;;;;;;;x
d_copiapo;Copiapó;;;;;;;;;;;;;x
d_copiapo_adj;Copiapino;;;;;;;;;;;;;x
### Kingdom of Chile ###
k_chile;Chile;;;;;;;;;;;;;x
k_chile_adj;Chileno;;;;;;;;;;;;;x
d_coquimbo;Coquimbo;;;;;;;;;;;;;x
d_coquimbo_adj;Coquimbano;;;;;;;;;;;;;x
d_valparaiso;Valparaíso;;;;;;;;;;;;;x
d_valparaiso_adj;Valpino;;;;;;;;;;;;;x
d_santiago_de_chile;Santiago;;;;;;;;;;;;;x
d_santiago_de_chile_adj;Santiaguino;;;;;;;;;;;;;x
d_ohiggins;O'Higgins;;;;;;;;;;;;;x
d_ohiggins_adj;Ohigginiano;;;;;;;;;;;;;x
d_maule;Maule;;;;;;;;;;;;;x
d_maule_adj;Maulino;;;;;;;;;;;;;x
d_nuble;Ñuble;;;;;;;;;;;;;x
d_nuble_adj;Ñublense;;;;;;;;;;;;;x
d_biobio;Biobío;;;;;;;;;;;;;x
d_biobio_adj;Biobano;;;;;;;;;;;;;x
### Kingdom of Araucanía ##
k_araucania;Araucanía;;;;;;;;;;;;;x
k_araucania_adj;Araucanino;;;;;;;;;;;;;x
d_araucania;Araucanía;;;;;;;;;;;;;x
d_araucania_adj;Araucanino;;;;;;;;;;;;;x
d_valdivia;Valdivia;;;;;;;;;;;;;x
d_valdivia_adj;Valdiviano;;;;;;;;;;;;;x
d_osorno;Osorno;;;;;;;;;;;;;x
d_osorno_adj;Osornino;;;;;;;;;;;;;x
d_llanquihue;Llanquihue;;;;;;;;;;;;;x
d_llanquihue_adj;Llanquihuano;;;;;;;;;;;;;x
d_chiloe;Chiloé;;;;;;;;;;;;;x
d_chiloe_adj;Chilote;;;;;;;;;;;;;x
